timestamp_local,record_type,event_type,event_msg,q_exp_0,q_exp_1,q_exp_2,q_exp_3,q_exp_4,q_exp_5,q_exp_6,q_exp_7,q_exp_8,q_exp_9,dq_exp_0,dq_exp_1,dq_exp_2,dq_exp_3,dq_exp_4,dq_exp_5,dq_exp_6,dq_exp_7,dq_exp_8,dq_exp_9,tau_exp_0,tau_exp_1,tau_exp_2,tau_exp_3,tau_exp_4,tau_exp_5,tau_exp_6,tau_exp_7,tau_exp_8,tau_exp_9,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,omega_x,omega_y,omega_z,acc_x,acc_y,acc_z,raw_roll,raw_pitch,raw_yaw,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z
2026-05-10 15:52:35.399243,inference,,,-0.0815043,-0.018854,0.424175,1.5215,0.938511,0.0344915,-0.161145,-0.658042,-1.53529,-0.908797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,0.021286,-0.000152588,-0.000686646,-0.000686646,-0.000686646,-0.0226593,-0.000152588,-0.000686646,-0.000686646,-0.000686646,0.0701308,-1.64839,-0.0979626,0.421698,-0.0411994,-0.14081,1.66075,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.405944,inference,,,-0.0758338,0.000531442,0.855225,1.5215,0.96012,-0.086724,-0.161145,-0.978263,-1.53529,-0.908055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02293,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916114,-0.000686646,-0.000152588,-0.000686646,-0.0226593,-0.000686646,0.021286,-0.000152588,-0.044632,-0.000686646,0.021286,0.0701308,-1.64839,-0.0979626,0.421698,-0.0411994,-0.134951,1.66075,-0.0393689,-0.398627,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.412591,inference,,,0.00831868,0.039326,1.0545,1.5215,0.952649,-0.121735,-0.161145,-0.998248,-1.53529,-0.897012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.175288,1.02293,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.0226593,-0.000152588,0.021286,-0.0226593,-0.000686646,0.021286,-0.000152588,0.021286,0.021286,-0.0226593,0.0759902,-1.64839,-0.0979626,0.415838,-0.0470588,-0.134951,1.66075,-0.0296021,-0.404486,-0.0470588,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.419229,inference,,,0.0354517,-0.018854,1.03936,1.5215,0.967232,-0.080969,-0.161145,-0.962075,-1.53529,-0.949688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02293,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.000686646,-0.000152588,-0.044632,-0.000686646,0.021286,-0.000686646,-0.000152588,-0.0226593,0.021286,-0.000686646,0.0759902,-1.64839,-0.0979626,0.415838,-0.0470588,-0.134951,1.67393,-0.0296021,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.425848,inference,,,-0.00831215,-0.018854,0.888244,1.5215,0.970728,-0.0513465,-0.161145,-1.01031,-1.53529,-1.05734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.91268,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.0226593,-0.000152588,-0.000686646,-0.000686646,-0.000686646,-0.0226593,0.00473022,-0.000686646,-0.000686646,-0.000686646,0.0759902,-1.64839,-0.088197,0.415838,-0.0470588,-0.134951,1.67393,-0.0393689,-0.410346,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.432474,inference,,,-0.0452111,-0.018854,0.767628,1.5215,0.960235,-0.0438678,-0.161145,-0.997037,-1.53529,-1.11955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.175288,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,0.021286,-0.000152588,0.021286,-0.000686646,-0.000686646,-0.000686646,-0.000152588,-0.000686646,0.021286,-0.000686646,0.0818496,-1.64839,-0.088197,0.415838,-0.0470588,-0.134951,1.67393,-0.0491345,-0.410346,-0.0353401,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.439098,inference,,,-0.0600808,-0.018854,0.71488,1.5215,0.957984,-0.045038,-0.161145,-0.948445,-1.53529,-1.14866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.000686646,-0.0050354,-0.0226593,0.021286,-0.000686646,-0.000686646,-0.000152588,-0.000686646,-0.000686646,-0.000686646,0.0759902,-1.64839,-0.088197,0.421698,-0.0411994,-0.129092,1.67393,-0.0491345,-0.410346,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.445716,inference,,,-0.0661312,-0.018854,0.69871,1.5215,0.961216,-0.0417619,-0.161145,-0.906182,-1.53529,-1.15742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,0.021286,-0.000152588,-0.0226593,-0.000686646,-0.000686646,-0.000686646,-0.000152588,-0.000686646,-0.0226593,-0.000686646,0.0818496,-1.64839,-0.088197,0.415838,-0.0411994,-0.134951,1.67393,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.452355,inference,,,-0.0665789,-0.018854,0.684589,1.5215,0.959456,-0.0343592,-0.161145,-0.870407,-1.53529,-1.14897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.175288,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.0226593,-0.000152588,-0.000686646,-0.0226593,-0.0226593,-0.0226593,-0.000152588,0.021286,-0.0226593,-0.000686646,0.0759902,-1.64839,-0.088197,0.421698,-0.0470588,-0.134951,1.67393,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.459025,inference,,,-0.0693039,-0.018854,0.67142,1.5215,0.9603,-0.0276556,-0.161145,-0.839687,-1.53529,-1.14292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916114,-0.000686646,-0.000152588,-0.000686646,-0.000686646,0.021286,-0.000686646,-0.0050354,-0.000686646,-0.000686646,-0.000686646,0.0701308,-1.64839,-0.088197,0.421698,-0.0470588,-0.134951,1.67393,-0.0491345,-0.398627,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.465639,inference,,,-0.0762472,-0.018854,0.664494,1.5215,0.965552,-0.0228307,-0.161145,-0.810883,-1.53529,-1.14487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.91268,-0.000572205,-0.139429,-0.175288,-1.04505,-0.916495,-0.0226593,-0.000152588,0.021286,-0.000686646,-0.0226593,-0.000686646,0.00473022,-0.000686646,-0.000686646,-0.0226593,0.0759902,-1.64839,-0.088197,0.421698,-0.0470588,-0.134951,1.67393,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.472267,inference,,,-0.0819597,-0.018854,0.662632,1.5215,0.970793,-0.0181492,-0.161145,-0.78343,-1.53529,-1.14922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916114,0.021286,-0.000152588,0.021286,0.021286,-0.000686646,0.021286,-0.000152588,-0.000686646,-0.000686646,0.021286,0.0818496,-1.64839,-0.088197,0.415838,-0.0411994,-0.134951,1.67393,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.478918,inference,,,-0.085749,-0.018854,0.666511,1.5215,0.975599,-0.0140727,-0.161145,-0.752229,-1.53529,-1.15124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02293,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916114,-0.000686646,-0.000152588,-0.000686646,-0.000686646,-0.000686646,-0.000686646,-0.0050354,-0.000686646,-0.000686646,-0.000686646,0.0818496,-1.64839,-0.088197,0.415838,-0.0411994,-0.134951,1.66075,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.485534,inference,,,-0.0888759,-0.018854,0.671741,1.5215,0.980027,-0.00992153,-0.161145,-0.717549,-1.53529,-1.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,0.021286,-0.000152588,-0.0226593,-0.0226593,0.021286,-0.0226593,-0.000152588,-0.0226593,-0.000686646,-0.000686646,0.0759902,-1.64839,-0.0979626,0.415838,-0.0411994,-0.14081,1.67393,-0.0491345,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.492172,inference,,,-0.0935053,-0.018854,0.674767,1.5215,0.983374,-0.0042286,-0.161145,-0.683867,-1.53529,-1.15619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02331,0.91268,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916495,-0.000686646,-0.000152588,-0.000686646,0.0432587,-0.000686646,-0.0226593,-0.000152588,-0.000686646,-0.0226593,-0.000686646,0.0701308,-1.64839,-0.088197,0.421698,-0.0411994,-0.134951,1.67393,-0.0393689,-0.410346,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
2026-05-10 15:52:35.498804,inference,,,-0.0986588,-0.018854,0.676812,1.5215,0.98524,0.00358507,-0.161145,-0.652236,-1.53529,-1.16005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127792,0.136758,0.174907,1.02293,0.912298,-0.000953674,-0.139429,-0.175288,-1.04505,-0.916114,-0.000686646,-0.0050354,-0.000686646,-0.0226593,-0.000686646,-0.000686646,-0.000152588,-0.000686646,-0.000686646,0.021286,0.0642715,-1.64839,-0.0979626,0.415838,-0.0470588,-0.134951,1.66075,-0.0393689,-0.404486,-0.0411994,-0.000532632,-0.000532632,-0.000532632,-0.0215478,-0.0215478,9.79962,-0.00244478,0.00177366,-0.00158192,0.000272913,0.000910143,-5.7827e-06,0.999969,-0.00123596,0.000930786,-0.000778198
